text,emotion
I think I am optimistic today,hope
Right now I feel serene a lot,peace
I think I feel afraid right now,fear
I think I am grateful,gratitude
I think This is disgusting,disgust
I think I feel relaxed today,peace
Right now I feel accomplished,pride
This is boring these days,boredom
Right now I love this,love
Honestly I feel thankful a lot,gratitude
Right now I am shocked,surprise
Honestly I feel fine a lot,neutral
Right now Everything is dull today,boredom
Today This surprised me right now,surprise
I feel exhausted a lot,stress
Right now Everything is dull today,boredom
Right now I feel joyful and excited right now,joy
Right now I feel proud,pride
I think This is disgusting a lot,disgust
I think I feel nervous a lot,fear
Right now Nothing to do a lot,boredom
Right now I feel sleepy right now,boredom
Right now I feel joyful and excited a lot,joy
This surprised me today,surprise
I think I care deeply today,love
I think I feel hopeful a lot,hope
Right now I feel lonely a lot,sadness
Honestly I am annoyed a lot,anger
I feel hopeful today,hope
I feel relaxed a lot,peace
Today I feel affection these days,love
I am overwhelmed a lot,stress
Right now I feel repulsed right now,disgust
I am scared a lot,fear
Today I feel accomplished,pride
I think This is a wonderful day right now,joy
I think I am feeling low today,sadness
I feel repulsed today,disgust
Right now I feel okay today,neutral
Today I feel affection,love
I think This is my success a lot,pride
I feel very happy today these days,joy
Honestly I didn’t expect this today,surprise
Honestly I feel okay a lot,neutral
I think I cannot relax these days,stress
Thank you so much today,gratitude
Today I feel fine,neutral
I think Everything is dull right now,boredom
Honestly I feel loved today,love
Today This surprised me,surprise
Honestly I am optimistic right now,hope
I think This is gross today,disgust
Today This surprised me right now,surprise
I didn’t expect this today,surprise
Today I feel bored,boredom
Today I adore this right now,love
Right now I am at peace a lot,peace
Right now I feel bored a lot,boredom
Honestly I achieved something right now,pride
I think I worked hard these days,pride
I think This makes me furious,anger
Honestly Thank you so much right now,gratitude
I think Too much pressure these days,stress
Right now I care deeply right now,love
Right now I feel loved right now,love
Right now Everything feels wrong,sadness
Honestly This is boring these days,boredom
Today I am optimistic a lot,hope
Honestly I feel relaxed right now,peace
Today I am amazed these days,surprise
I think I am very angry a lot,anger
Honestly I am at peace,peace
I think I feel calm a lot,peace
Today That was unexpected these days,surprise
I think This is gross these days,disgust
I am at peace these days,peace
Right now I adore this,love
I am overwhelmed,stress
I think I feel accomplished right now,pride
Today I feel okay today,neutral
I think This surprised me,surprise
Right now This is my success today,pride
Everything is average a lot,neutral
Today I feel thankful right now,gratitude
I feel thankful today,gratitude
Right now I feel irritated a lot,anger
I think I feel like crying right now,sadness
Right now I lost my temper,anger
I feel fine,neutral
Honestly I feel repulsed right now,disgust
I think I am feeling great right now,joy
Right now I am overwhelmed a lot,stress
Right now I lost my temper,anger
I think I feel fine a lot,neutral
Honestly I feel nervous right now,fear
I think I am scared a lot,fear
Right now Too much pressure today,stress
Honestly I feel repulsed a lot,disgust
I am scared these days,fear
I think I achieved something,pride
Honestly I feel bored a lot,boredom
I think I feel like crying these days,sadness
Honestly I feel exhausted a lot,stress
Today I feel affection today,love
Honestly I feel nervous,fear
I think I achieved something a lot,pride
Honestly This is frightening,fear
Just a normal day a lot,neutral
Right now I am shocked a lot,surprise
Honestly I feel bored,boredom
Honestly I feel sick these days,disgust
Today Things will get better a lot,hope
I achieved something these days,pride
Right now I am very angry a lot,anger
I am at peace today,peace
I feel fine a lot,neutral
Right now I feel irritated a lot,anger
Right now Things will get better a lot,hope
Today I am feeling low right now,sadness
Today I am grateful,gratitude
I feel very happy today right now,joy
Right now Just a normal day these days,neutral
Honestly I worked hard today,pride
Too much pressure a lot,stress
Right now I feel very happy today these days,joy
Honestly I feel nervous,fear
I think Everything feels wrong these days,sadness
This is boring today,boredom
Today I am scared a lot,fear
Right now I feel affection a lot,love
Honestly I feel calm today,peace
I think I am overwhelmed,stress
Right now I didn’t expect this today,surprise
Right now Just a normal day today,neutral
Honestly This makes me furious today,anger
I think I appreciate this,gratitude
I think Hope keeps me going right now,hope
Right now I feel affection these days,love
I worked hard these days,pride
Right now I feel very happy today today,joy
Thank you so much a lot,gratitude
Right now I feel joyful and excited today,joy
I am scared,fear
Right now Everything is peaceful right now,peace
Honestly This makes me furious today,anger
Today Nothing to do,boredom
Today I lost my temper right now,anger
Right now I feel calm these days,peace
Today I adore this a lot,love
Honestly Hope keeps me going a lot,hope
Today I appreciate this today,gratitude
Right now I am feeling great,joy
Today I feel serene,peace
I think I am scared these days,fear
Everything feels wrong today,sadness
I think I feel exhausted a lot,stress
I think I care deeply,love
Today I feel relaxed a lot,peace
Honestly Things will get better right now,hope
I think Everything feels wrong right now,sadness
Right now That was unexpected,surprise
Honestly This is boring,boredom
Right now This is gross,disgust
I think I feel calm right now,peace
Thanks for everything,gratitude
Today I am at peace right now,peace
Today I adore this a lot,love
I think This surprised me a lot,surprise
Today I feel okay right now,neutral
I feel sick a lot,disgust
Honestly Everything is dull today,boredom
Right now I didn’t expect this these days,surprise
Right now I cannot relax,stress
Today Thanks for everything,gratitude
I think I am optimistic,hope
Right now This is boring these days,boredom
Nothing to do these days,boredom
I think I feel okay,neutral
Today I feel hopeful a lot,hope
Today I am at peace today,peace
Life is beautiful a lot,joy
Today I am feeling low today,sadness
Today This is frightening these days,fear
Honestly I am at peace,peace
I think I feel very happy today a lot,joy
I am scared today,fear
I think This is gross right now,disgust
Today I feel lonely right now,sadness
I think Too much pressure these days,stress
Today I feel joyful and excited a lot,joy
Honestly I feel affection right now,love
Today I feel afraid a lot,fear
I think I feel repulsed right now,disgust
Honestly This is my success these days,pride
I think Things will get better,hope
Right now I am annoyed these days,anger
I think I lost my temper,anger
This makes me furious these days,anger
Today This surprised me a lot,surprise
Today I am feeling great a lot,joy
Right now I am scared today,fear
I think I care deeply today,love
Today This is frightening a lot,fear
I think This is gross a lot,disgust
Honestly I feel accomplished these days,pride
Right now I feel relaxed,peace
Honestly I am feeling low a lot,sadness
Today I feel very happy today these days,joy
I think Everything is peaceful a lot,peace
Today I believe in future today,hope
Today I feel sleepy today,boredom
This is boring today,boredom
I think I am amazed today,surprise
Right now I didn’t expect this today,surprise
Today I feel exhausted these days,stress
I think This is frightening these days,fear
I feel accomplished today,pride
Honestly Nothing to do,boredom
Everything is peaceful today,peace
I feel exhausted,stress
I think I feel bored right now,boredom
Today I am overwhelmed these days,stress
I think I feel stressed,stress
Right now I am feeling great these days,joy
Right now This is disgusting a lot,disgust
Honestly I cannot relax today,stress
Right now This is boring a lot,boredom
Honestly I feel exhausted,stress
I feel repulsed today,disgust
I feel very sad,sadness
I feel irritated,anger
Honestly I love this these days,love
I think I feel hopeful,hope
This is frightening,fear
Right now I didn’t expect this right now,surprise
I think I feel very sad right now,sadness
Honestly I feel like crying a lot,sadness
Right now I feel serene right now,peace
I think I am grateful,gratitude
Right now I achieved something right now,pride
Today I feel sleepy right now,boredom
Right now I feel exhausted,stress
Today I feel relaxed today,peace
Right now I feel accomplished a lot,pride
Right now Everything is peaceful these days,peace
I think I feel serene,peace
I am overwhelmed these days,stress
Today I feel hopeful these days,hope
I think I feel accomplished a lot,pride
This is disgusting these days,disgust
I feel very happy today,joy
Honestly Everything feels wrong,sadness
Today I feel stressed a lot,stress
Today I feel lonely a lot,sadness
I feel joyful and excited right now,joy
Honestly I am annoyed,anger
Right now Everything is peaceful today,peace
Honestly I feel afraid right now,fear
Today I am scared right now,fear
I feel joyful and excited right now,joy
This surprised me these days,surprise
Honestly I feel thankful,gratitude
Today I feel okay right now,neutral
Right now I am overwhelmed today,stress
I think I feel lonely today,sadness
I think I feel thankful right now,gratitude
I think I feel joyful and excited today,joy
Nothing special today right now,neutral
I think Thank you so much these days,gratitude
This is my success these days,pride
I think I adore this these days,love
I think Thank you so much right now,gratitude
Honestly Everything is average,neutral
I think I feel sleepy these days,boredom
I am optimistic a lot,hope
Today I feel very happy today a lot,joy
Right now I am shocked,surprise
Thanks for everything today,gratitude
I think I am optimistic today,hope
I think I feel lonely a lot,sadness
Today I am amazed right now,surprise
Honestly I feel fine a lot,neutral
Today I worked hard right now,pride
Right now I am optimistic a lot,hope
Honestly Nothing special today a lot,neutral
I feel accomplished a lot,pride
Right now I adore this these days,love
Today I feel accomplished a lot,pride
Today Everything is dull today,boredom
Today This is disgusting today,disgust
Today I feel calm these days,peace
Everything is peaceful,peace
Honestly Everything is dull today,boredom
Honestly I feel okay today,neutral
Right now I am worried a lot,fear
Honestly I adore this a lot,love
Today That smells bad right now,disgust
Today I love this a lot,love
Today Nothing to do today,boredom
Honestly This is disgusting these days,disgust
Right now I feel very happy today right now,joy
Right now I feel affection a lot,love
I think I feel sleepy right now,boredom
I think I feel hopeful,hope
Honestly I am feeling low these days,sadness
Honestly I feel thankful these days,gratitude
I think Everything is average these days,neutral
I think Too much pressure right now,stress
I feel very sad right now,sadness
Right now I feel exhausted these days,stress
I think I achieved something right now,pride
Honestly I adore this today,love
Right now I feel exhausted today,stress
I care deeply these days,love
Right now I feel like crying today,sadness
Honestly I feel hopeful a lot,hope
Today I am feeling low a lot,sadness
I think Everything feels wrong,sadness
Right now I feel exhausted a lot,stress
Right now Hope keeps me going right now,hope
Today I appreciate this right now,gratitude
Honestly I am very angry a lot,anger
I think I am annoyed right now,anger
Nothing to do,boredom
I think I didn’t expect this a lot,surprise
I think I feel thankful,gratitude
Right now I feel exhausted a lot,stress
Today I worked hard a lot,pride
I think I feel affection today,love
Honestly Everything is average,neutral
I feel thankful these days,gratitude
Today I am annoyed,anger
I feel okay,neutral
Everything is dull a lot,boredom
I feel okay a lot,neutral
Today This is gross,disgust
I think Thank you so much right now,gratitude
Right now Everything is dull,boredom
Today I am overwhelmed right now,stress
Today I feel fine these days,neutral
I think I lost my temper,anger
I feel hopeful,hope
That smells bad today,disgust
Today I worked hard these days,pride
Right now This is gross a lot,disgust
Honestly This is disgusting right now,disgust
Honestly Hope keeps me going these days,hope
Honestly I feel bored right now,boredom
Right now I appreciate this right now,gratitude
Honestly I feel relaxed these days,peace
Today I feel okay today,neutral
I think Hope keeps me going,hope
I am very angry,anger
I am feeling low right now,sadness
I care deeply a lot,love
Right now This is a wonderful day,joy
I think Everything is average today,neutral
I feel lonely a lot,sadness
Honestly I feel like crying these days,sadness
Right now I feel affection,love
Honestly I feel affection these days,love
Right now Too much pressure a lot,stress
I think I feel relaxed a lot,peace
Today I feel okay these days,neutral
I think I feel sleepy a lot,boredom
I adore this right now,love
Honestly I cannot relax right now,stress
I think I didn’t expect this,surprise
Honestly I feel serene,peace
I feel nervous these days,fear
I think That was unexpected right now,surprise
I feel lonely a lot,sadness
I think I feel sleepy a lot,boredom
Honestly Nothing special today right now,neutral
Right now I feel relaxed these days,peace
I think I believe in future a lot,hope
Today Nothing special today today,neutral
Honestly I love this a lot,love
Right now I lost my temper today,anger
Honestly I feel nervous,fear
Right now I feel sleepy today,boredom
Honestly That was unexpected a lot,surprise
I think I am shocked these days,surprise
This surprised me,surprise
Honestly I feel lonely right now,sadness
Honestly This is disgusting today,disgust
Today I am worried right now,fear
Right now I feel thankful these days,gratitude
I think I feel irritated these days,anger
Right now I feel nervous a lot,fear
Today I feel proud today,pride
Right now I am scared today,fear
I think I am worried a lot,fear
Honestly This is frightening a lot,fear
Right now I feel thankful,gratitude
Today I feel very happy today today,joy
I am amazed today,surprise
Right now Thanks for everything a lot,gratitude
Honestly That smells bad today,disgust
I think This is a wonderful day right now,joy
Honestly I am amazed these days,surprise
Honestly I feel fine today,neutral
Right now I am overwhelmed right now,stress
Honestly I feel very sad a lot,sadness
I didn’t expect this right now,surprise
Today This is my success these days,pride
Right now Everything is peaceful,peace
Today That smells bad these days,disgust
I feel irritated,anger
Right now I believe in future these days,hope
Today I feel afraid today,fear
I feel fine these days,neutral
Honestly I feel sleepy,boredom
Today Everything is peaceful right now,peace
Today Everything is average right now,neutral
Today I feel loved today,love
I feel like crying right now,sadness
Right now I feel bored a lot,boredom
Honestly Just a normal day today,neutral
Things will get better today,hope
I think I feel like crying today,sadness
Right now That was unexpected today,surprise
Right now I love this right now,love
Honestly I lost my temper a lot,anger
Today Thank you so much these days,gratitude
Honestly Everything feels wrong a lot,sadness
I think This makes me furious right now,anger
I think I feel hopeful right now,hope
Right now Everything is average,neutral
I am optimistic,hope
I think Nothing to do,boredom
Honestly I feel joyful and excited these days,joy
Today I am amazed today,surprise
Right now I feel bored right now,boredom
Honestly I feel joyful and excited today,joy
I love this a lot,love
I feel like crying today,sadness
Today I feel accomplished right now,pride
I think Things will get better these days,hope
Today I care deeply right now,love
I am very angry today,anger
Today I am optimistic right now,hope
Today I achieved something today,pride
Thanks for everything today,gratitude
I think This makes me furious today,anger
Today Hope keeps me going these days,hope
Thank you so much right now,gratitude
Today I feel loved right now,love
Today I didn’t expect this right now,surprise
Hope keeps me going right now,hope
Today I feel lonely a lot,sadness
I am feeling low a lot,sadness
Honestly I am optimistic right now,hope
Right now I am scared these days,fear
Honestly I lost my temper today,anger
Today I lost my temper,anger
I am annoyed right now,anger
Today I feel afraid right now,fear
I think This is boring today,boredom
Honestly This is frightening,fear
Today Life is beautiful these days,joy
I feel hopeful today,hope
I lost my temper a lot,anger
I feel sleepy,boredom
I think I achieved something these days,pride
Right now I feel very sad a lot,sadness
Today I feel irritated a lot,anger
Today I am overwhelmed a lot,stress
Honestly I am optimistic these days,hope
Today I appreciate this right now,gratitude
Right now I believe in future a lot,hope
Right now I didn’t expect this right now,surprise
Today I feel proud a lot,pride
Today I cannot relax right now,stress
I think I love this,love
I think Everything is average a lot,neutral
Today I lost my temper right now,anger
I think I feel calm today,peace
I think I feel joyful and excited today,joy
I think I lost my temper,anger
This is my success today,pride
That smells bad right now,disgust
I think I feel loved,love
Today Too much pressure right now,stress
I think I believe in future right now,hope
Right now I love this,love
Today I feel exhausted these days,stress
I am worried a lot,fear
I think I feel bored right now,boredom
I am worried today,fear
Honestly I achieved something,pride
Today I achieved something these days,pride
Today I am scared these days,fear
Right now I feel sleepy today,boredom
Today Just a normal day these days,neutral
I feel very sad right now,sadness
Today I feel sick today,disgust
Hope keeps me going a lot,hope
Today I feel exhausted these days,stress
Honestly This surprised me these days,surprise
Honestly I feel repulsed,disgust
Today I am overwhelmed,stress
Honestly I feel nervous today,fear
I think I feel joyful and excited,joy
Right now I feel very happy today a lot,joy
Today This is boring right now,boredom
I think I feel very sad right now,sadness
Today I feel proud today,pride
Honestly I feel okay these days,neutral
Right now This makes me furious a lot,anger
Honestly I feel serene a lot,peace
Today I believe in future a lot,hope
Today I feel repulsed,disgust
Right now I feel okay a lot,neutral
I think I am scared these days,fear
I think Things will get better today,hope
I think Things will get better right now,hope
I think I feel repulsed today,disgust
I think This is disgusting these days,disgust
Right now I am worried these days,fear
Today I am optimistic a lot,hope
Hope keeps me going right now,hope
Right now Hope keeps me going,hope
Honestly I feel sleepy today,boredom
This is gross today,disgust
Everything is peaceful these days,peace
I think I am very angry a lot,anger
I think I feel afraid right now,fear
Right now I am amazed,surprise
I think I feel joyful and excited a lot,joy
I think This is frightening right now,fear
I think I feel accomplished today,pride
Honestly This is gross right now,disgust
I think I am feeling great,joy
Today Life is beautiful today,joy
Today I am feeling low right now,sadness
Right now Hope keeps me going,hope
Right now This is gross these days,disgust
Honestly That smells bad,disgust
I think Life is beautiful today,joy
Right now Thanks for everything,gratitude
Things will get better a lot,hope
I think Thank you so much these days,gratitude
Honestly I believe in future a lot,hope
Right now I feel exhausted a lot,stress
Honestly Nothing to do right now,boredom
Right now I worked hard today,pride
I am feeling low,sadness
Honestly I achieved something today,pride
I think Everything feels wrong right now,sadness
Thank you so much today,gratitude
Nothing to do today,boredom
Honestly This makes me furious a lot,anger
Honestly I feel proud a lot,pride
I think Too much pressure a lot,stress
This is disgusting,disgust
Honestly This is gross these days,disgust
This is gross right now,disgust
Right now I feel proud,pride
I think This is my success,pride
Right now I feel thankful today,gratitude
Right now I feel okay,neutral
Right now I feel lonely these days,sadness
I think I feel calm a lot,peace
Today I feel like crying right now,sadness
Right now I feel very sad these days,sadness
Honestly I feel okay a lot,neutral
Honestly I adore this today,love
I think I feel thankful today,gratitude
Right now I feel irritated today,anger
Honestly I adore this today,love
Today Everything feels wrong these days,sadness
Today I believe in future today,hope
I am at peace,peace
Today I feel exhausted these days,stress
I think I feel very happy today these days,joy
Nothing to do right now,boredom
Today I feel fine today,neutral
I think I am shocked today,surprise
Right now I am at peace today,peace
I think I feel stressed right now,stress
I feel stressed,stress
I think I feel proud a lot,pride
Thank you so much right now,gratitude
Today I feel calm today,peace
Honestly I am worried today,fear
Everything feels wrong these days,sadness
Right now I appreciate this right now,gratitude
Today Life is beautiful these days,joy
Today Everything is dull a lot,boredom
Today I feel irritated today,anger
Today Life is beautiful today,joy
I feel loved these days,love
Today I love this today,love
Right now Hope keeps me going right now,hope
I am scared right now,fear
Honestly Hope keeps me going right now,hope
Honestly I feel relaxed,peace
Today I am grateful right now,gratitude
Nothing special today right now,neutral
Right now That smells bad right now,disgust
Honestly Life is beautiful a lot,joy
Today I am feeling great,joy
Today I feel loved right now,love
I feel repulsed,disgust
Today I feel hopeful these days,hope
Right now I didn’t expect this today,surprise
I think This is a wonderful day these days,joy
I think I lost my temper a lot,anger
Today I am optimistic these days,hope
I think This is frightening today,fear
Honestly I care deeply right now,love
Honestly I feel thankful a lot,gratitude
I think I feel serene,peace
Honestly I appreciate this these days,gratitude
I feel sleepy these days,boredom
I think I feel bored a lot,boredom
Honestly This is my success these days,pride
I am very angry right now,anger
Right now I feel afraid a lot,fear
Right now That smells bad right now,disgust
Right now Thank you so much right now,gratitude
Today I feel nervous today,fear
Right now I feel serene right now,peace
I think I am feeling great right now,joy
Today I am optimistic today,hope
I think I feel calm these days,peace
Honestly I am amazed a lot,surprise
I think I achieved something right now,pride
Right now This is my success right now,pride
I feel lonely right now,sadness
I think That was unexpected a lot,surprise
I feel nervous a lot,fear
I think I worked hard today,pride
I think Just a normal day these days,neutral
Today I feel stressed,stress
Honestly I adore this these days,love
Today I am optimistic today,hope
Life is beautiful right now,joy
Honestly I feel fine today,neutral
I care deeply a lot,love
That was unexpected right now,surprise
I think I am optimistic,hope
Right now Everything is dull,boredom
Everything is dull a lot,boredom
Right now I am shocked these days,surprise
Right now I feel sleepy a lot,boredom
Right now I feel afraid,fear
I feel serene right now,peace
Today This is disgusting today,disgust
Honestly I achieved something these days,pride
I think I am shocked today,surprise
I achieved something a lot,pride
Right now Things will get better right now,hope
Honestly I feel lonely,sadness
Today I feel bored a lot,boredom
Right now I am feeling low a lot,sadness
Honestly Life is beautiful a lot,joy
Honestly Nothing special today right now,neutral
I feel relaxed a lot,peace
Today This is frightening today,fear
Honestly I feel serene a lot,peace
Honestly I feel bored right now,boredom
I think I feel okay a lot,neutral
Today I feel like crying today,sadness
I think Nothing special today these days,neutral
Today I believe in future right now,hope
Right now I feel irritated today,anger
I think Nothing to do right now,boredom
I think I feel accomplished right now,pride
I think I feel thankful a lot,gratitude
Today I feel fine a lot,neutral
Today That smells bad a lot,disgust
I feel serene today,peace
I feel affection today,love
Honestly Everything is peaceful,peace
I think I feel hopeful these days,hope
Honestly I feel exhausted,stress
Today Everything is dull today,boredom
Honestly I feel joyful and excited today,joy
Right now Thanks for everything today,gratitude
Honestly I feel afraid right now,fear
Everything feels wrong right now,sadness
I think I feel loved,love
Today Thanks for everything these days,gratitude
Right now Too much pressure today,stress
Hope keeps me going a lot,hope
Honestly I feel nervous these days,fear
I think I am feeling low today,sadness
Just a normal day these days,neutral
Today I didn’t expect this right now,surprise
I think This surprised me today,surprise
Honestly I cannot relax these days,stress
Honestly I feel lonely these days,sadness
Today I am worried right now,fear
I am very angry,anger
I think I believe in future these days,hope
Honestly I am overwhelmed these days,stress
Honestly I feel proud right now,pride
Today I am annoyed a lot,anger
Just a normal day these days,neutral
Everything is dull today,boredom
Today I feel stressed,stress
Right now Just a normal day right now,neutral
Right now I am very angry,anger
I think Everything is peaceful right now,peace
Honestly This is frightening today,fear
Honestly That was unexpected,surprise
I feel sick right now,disgust
Today I worked hard these days,pride
Honestly I feel bored these days,boredom
Right now I adore this right now,love
Right now This is frightening today,fear
Right now Everything is peaceful right now,peace
